City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,wailua homesteads,22.0669,-159.378,23.44,80,100,5.14,US,1683865754
228,surgut,61.25,73.4167,-2.9,63,20,3.0,RU,1683865483
229,colonia,50.9333,6.95,13.31,91,40,3.6,DE,1683865755
230,omdurman,15.6445,32.4777,32.37,10,3,3.62,SD,1683865756
231,merritt,50.1123,-120.7942,14.62,42,72,0.89,CA,1683865757
232,tomakomai,42.6369,141.6033,8.08,71,75,4.63,JP,1683865757
233,vilyuchinsk,52.9306,158.4028,7.15,86,99,1.61,RU,1683865758
234,bilibino,68.0546,166.4372,1.51,96,100,1.36,RU,1683865758
235,west bay,19.3667,-81.4167,27.81,82,60,1.34,KY,1683865759
236,kristiansund,63.1115,7.732,9.36,93,100,0.0,NO,1683865759
237,manokwari,-0.8667,134.0833,29.06,74,83,4.57,ID,1683865760
238,hasaki,35.7333,140.8333,20.68,55,54,4.58,JP,1683865761
239,georgetown,5.4112,100.3354,33.97,70,20,2.57,MY,1683865610
240,tirumullaivasal,11.2333,79.8333,31.54,58,99,3.74,IN,1683865762
241,hamilton,39.1834,-84.5333,21.07,84,0,2.06,US,1683865762
242,slave lake,55.2834,-114.769,12.99,88,40,1.54,CA,1683865763
243,ketchikan,55.3422,-131.6461,11.99,81,100,4.12,US,1683865633
244,lakatoro,-16.0999,167.4164,28.18,66,58,8.99,VU,1683865764
245,luena,-11.7833,19.9167,10.1,87,2,2.06,AO,1683865764
246,katsuren-haebaru,26.3369,127.8719,26.21,56,40,5.66,JP,1683865765
247,minas de marcona,-15.2119,-75.1103,14.05,88,40,3.6,PE,1683865765
248,yaren,-0.5472,166.916,29.01,76,96,5.05,NR,1683865766
249,gotsucho,35.0,132.2167,20.03,55,100,2.91,JP,1683865767
250,gamba,-2.65,10.0,25.06,94,98,1.95,GA,1683865767
251,hovd,48.0056,91.6419,19.44,19,10,2.89,MN,1683865768
252,howrah,22.5892,88.3103,33.0,70,75,3.6,IN,1683865769
253,turpan,42.9333,89.1667,32.16,7,92,1.91,CN,1683865769
254,kourou,5.1552,-52.6478,23.03,93,90,2.65,GF,1683865770
255,sept-iles,50.2001,-66.3821,7.0,76,0,2.06,CA,1683865682
256,mugia,43.1041,-9.2179,12.73,80,70,6.69,ES,1683865771
257,falesti,47.5736,27.7092,12.48,72,96,1.5,MD,1683865772
258,talnakh,69.4865,88.3972,-13.77,80,51,4.79,RU,1683865772
259,arta,39.1606,20.9853,12.8,84,83,1.55,GR,1683865773
260,bagli,22.65,76.35,36.85,7,2,2.67,IN,1683865773
261,napoleon,41.3923,-84.1252,17.91,65,100,2.41,US,1683865507
262,nikol'sk,53.7189,46.0712,10.36,73,100,4.46,RU,1683865774
263,tabou,4.423,-7.3528,27.06,85,95,2.44,CI,1683865775
264,machico,32.7,-16.7667,20.07,71,20,7.72,PT,1683865775
265,kemise,10.7167,39.8667,21.05,74,45,1.93,ET,1683865776
266,kisarazu,35.3747,139.9225,21.83,57,97,1.56,JP,1683865777
267,papao,-17.75,-149.55,26.82,95,100,11.21,PF,1683865777
268,kochkor-ata,41.0389,72.4833,27.36,24,89,2.21,UZ,1683865778
269,nova sintra,14.8667,-24.7167,19.56,83,7,7.36,CV,1683865779
270,plettenberg bay,-34.0527,23.3716,13.55,83,100,5.12,ZA,1683865779
271,lihue,21.9789,-159.3672,23.77,80,100,5.14,US,1683865780
272,san lawrenz,36.0553,14.204,16.59,89,98,0.89,MT,1683865780
273,ghormach,35.7306,63.7826,23.74,39,4,2.35,AF,1683865781
274,kuusamo,65.9667,29.1833,8.02,61,0,2.57,FI,1683865778
275,armavir,44.9892,41.1234,8.55,76,3,1.48,RU,1683865782
276,ponta delgada,37.7333,-25.6667,16.4,88,75,2.57,PT,1683865782
277,barcelos,41.5388,-8.6151,12.69,89,9,2.81,PT,1683865570
278,ust'-ilimsk,58.0006,102.6619,12.24,38,99,4.61,RU,1683865783
279,tazovsky,67.4667,78.7,-12.84,88,54,3.94,RU,1683865783
280,sinop,41.7711,34.8709,8.24,92,99,2.02,TR,1683865784
281,kuanda,56.3161,116.0806,6.4,43,79,2.23,RU,1683865784
282,polyarnyy,69.1989,33.4478,3.92,100,100,3.08,RU,1683865785
283,maneromango,-7.1988,38.7848,20.2,99,54,1.44,TZ,1683865785
284,muang phonsavan,19.45,103.2167,23.67,81,83,1.85,LA,1683865786
285,constantia,44.1833,28.65,8.38,63,66,5.22,RO,1683865787
286,bessemer,33.4018,-86.9544,21.1,93,99,1.49,US,1683865787
287,flin flon,54.7682,-101.865,14.44,40,100,4.26,CA,1683865788
288,gao,16.6362,1.637,30.88,14,48,4.56,ML,1683865788
289,yangiqo'rg'on,41.1906,71.7257,25.36,20,46,1.51,UZ,1683865789
290,nakamura,32.9833,132.9333,22.47,43,59,2.77,JP,1683865790
291,coxen hole,16.3244,-86.5366,27.6,89,40,10.29,HN,1683865790
292,buta,2.7858,24.73,21.62,100,100,0.25,CD,1683865790
293,college,64.8569,-147.8028,15.18,44,40,2.57,US,1683865791
294,luderitz,-26.6481,15.1594,14.74,76,100,12.38,NA,1683865791
295,elk city,35.412,-99.4043,21.12,64,0,5.14,US,1683865574
296,lysyye gory,51.5506,44.8414,9.5,88,96,3.65,RU,1683865792
297,forked river,39.8398,-74.1901,18.88,64,0,3.47,US,1683865792
298,gizo,-8.103,156.8419,29.18,74,62,1.79,SB,1683865793
299,zaragoza,41.6561,-0.8773,10.48,77,20,6.69,ES,1683865793
300,dili,-8.5586,125.5736,28.04,63,16,1.97,TL,1683865794
301,nili,33.7218,66.1302,18.66,33,2,1.24,AF,1683865794
302,san patricio,28.017,-97.5169,27.13,93,5,5.73,US,1683865795
303,poronaysk,49.2167,143.1167,7.32,66,17,5.72,RU,1683865795
304,barra do corda,-5.5,-45.25,22.95,89,53,0.87,BR,1683865795
305,lebu,-37.6167,-73.65,12.42,93,100,1.97,CL,1683865796
306,eastham,41.8301,-69.9739,15.53,78,20,3.13,US,1683865796
307,callao,-12.0667,-77.15,22.07,78,100,5.66,PE,1683865797
308,ciudad bolivar,8.1222,-63.5497,28.52,58,62,5.08,VE,1683865797
309,alo,7.4178,6.7371,24.93,93,99,0.87,NG,1683865797
310,severo-vostotchnyi bank,39.4112,49.2479,15.81,76,88,7.82,AZ,1683865798
311,hotan,37.0997,79.9269,24.14,6,0,2.54,CN,1683865798
312,bismarck,46.8083,-100.7837,19.37,81,100,4.63,US,1683865798
313,tsementnyy,57.4678,60.1439,8.84,42,3,3.02,RU,1683865799
314,san fernando,15.0286,120.6898,33.85,54,75,3.44,PH,1683865799
315,jabor,5.921,169.6434,28.39,79,95,6.78,MH,1683865800
316,kutum,14.2,24.6667,26.79,37,74,3.28,SD,1683865800
317,venice,27.0998,-82.4543,27.21,72,0,4.47,US,1683865783
318,lianzhou,24.7811,112.3825,26.39,57,67,1.95,CN,1683865801
319,xining,36.6167,101.7667,13.69,29,88,0.57,CN,1683865802
320,ust-tsilma,65.441,52.1498,3.13,100,100,1.58,RU,1683865804
321,nar'yan-mar,67.6713,53.087,0.79,100,100,2.57,RU,1683865811
322,cherykaw,53.5692,31.3793,11.31,73,12,1.67,BY,1683865812
323,mbabane,-26.3167,31.1333,10.74,60,0,2.37,SZ,1683865813
324,uturoa,-16.7333,-151.4333,24.7,90,100,9.55,PF,1683865813
325,montdidier,49.75,2.5833,9.94,97,100,3.81,FR,1683865815
326,kalmunai,7.4167,81.8167,29.82,73,98,0.7,LK,1683865816
327,miasskoye,55.2784,61.8905,10.49,48,78,4.06,RU,1683865817
328,siracusa,37.0881,15.2792,12.77,64,100,1.53,IT,1683865815
329,laojunmiao,39.8333,97.7333,18.25,9,1,4.44,CN,1683865818
330,muynoq,43.7683,59.0214,27.76,24,3,1.61,UZ,1683865818
331,geraldton,-28.7667,114.6,27.23,36,21,5.66,AU,1683865817
332,makhambet,47.6667,51.5833,14.61,47,13,7.3,KZ,1683865820
333,jijiga,9.35,42.8,19.6,80,45,2.84,ET,1683865820
334,chernyshevskiy,63.0128,112.4714,4.88,67,100,5.19,RU,1683865821
